,itemid,count,label
170,4414,12,cyclopentolate 1%
171,629,2944,Seizure Activity
172,2572,1,V02I
173,223782,20178,Pain Type
174,8305,1,ICP  Right
175,3564,2464,Parent Ed/Support
176,71,8457,BSA - Metric
177,1606,1,spinal precautions
178,4355,20,circ care
179,2761,1,passey-muir
180,624,512,Return Pressure mmHg
181,626,6187,SVR
182,2693,1,LEPIRUDIN
183,3242,1,NICARDIPINE MCQ/KG/M
184,227240,20942,NBP Alarm Source
185,823,5025,Mixed Venous O2% Sat
186,1528,5857,Fibrinogen
187,227929,100,Position - Recovery - Aerobic Activity Response
188,8484,1967,Ventricular Pacemaker [Sensitivity]
189,4360,1,Nystatin oral.
190,8491,2389,Atrial Pacemaker Sense [mA]
191,6210,1,PHENOBARB & DILANTIN
192,1374,1,ICP Right
193,6286,1,FLOW
194,1981,1,HighMV Alarm
195,2925,2,flow trigger
196,3492,16,Lorazepam/Ativan
197,5347,1,tobradex oint
198,2363,1,CINA SCALE
199,224633,3446,Undermining Present #1
200,228099,7846,18 Gauge placed in the field
201,1000,3,cisatricurium
202,227474,957,Incision Site #3
203,225070,7555,Unable to assess psychological
204,228374,97,Stroke Volume (SV NICOM)
205,2522,1,HFO-MAP
206,227961,7869,Side  Rails
207,2542,1,TOF TWICH MONITOR
208,211,34902,Heart Rate
209,7493,1,t-Hi
210,7632,1,NO Tank Pressure
211,1963,4,SITTER
212,225112,4428,Unable to assess pain
213,6964,1,Epidural ml/hr
214,6118,1,NYSTATIN OINTMENT
215,228448,2,Angio Dressing # 4
216,5210,1,Atropine eye oint.
217,77,25248,Behavior
218,224953,552,Impaired Skin Width #4
219,225743,54,Midline Discontinued
220,140,1580,Cuff Leak
221,228146,6,ABI Brachial BP R
222,4976,3,prune juice po/pg
223,226772,13,PotassiumApacheIIValue
224,56,4157,Atrial Pacemaker [Sense]
225,1966,1,HI MV Alarm
226,8048,1,C.O.
227,2373,8,APROTININ ML/HR
228,6790,1,SSRI #units
229,5865,1,APRV Pressure High
230,6129,1,time Lo
231,8466,14388,Pupil Response [Left]
232,3384,2832,Dad held infant
233,4291,2,Fosphenytoin
234,224101,2408,Chest PT R/L
235,228449,11,Angio Site # 3
236,224054,21810,Braden Sensory Perception
237,4449,5,Cardiac consult
238,8301,2,Recruitment pressure
239,5762,1,rectal tube care
240,224674,139,Changes in Temperature
241,227543,485,CO (Arterial)
242,2112,1,continuous C.O
243,7934,1,nystatin S&S
244,224976,412,Surrounding Tissue #6
245,227963,290,Restraints Ordered (Violent)
246,224005,14473,Flatus
247,223840,248,ETT Re-taped
248,2339,7,APROTONIN
249,712,12,VO2 (200-250)
250,228446,1,Angio Appearance # 4
251,3082,4,HIGH TIDAL VOL
252,8362,142,ABI Ankle BP [Left]
253,224935,393,Impaired Skin Site #7
254,1910,19,BAth
255,6657,2,DP
256,8320,2,G-tube site
257,4189,213,Sucrose
258,977,6,TRACHE CARE
259,7534,1,Intrinsic peep
260,8433,1029,Inc #4 [Status]
261,376,2020,Impaired Skin Site#3
262,227872,173,Recovery RR - Aerobic Capacity
263,227672,55,Violent Restraints Ordered
264,224001,21635,Diet Type
265,1427,19848,GI Prophylaxis [Drug #1]
266,515,4922,Pacemaker Mode
267,2992,1,Argatroban mcg/kg/m
268,228303,1888,CAM-ICU Disorganized thinking
269,2783,2,edv
270,1542,21034,WBC
271,6287,1,antibiotic ointmt.
272,6298,1,foley d/c
273,8517,1478,FIO2 Alarm [High]
274,1551,26,high MV
275,226980,7,AgeScore_ApacheIV
276,6407,1,Warm compress
277,2717,3,NITRIC OXIDE
278,8011,3,chest binder
279,5610,1,BP Q8H
280,4435,6,Circ. Site
281,165,16955,Education Barrier
282,224367,212,Epidural Total Dose (mL)
283,5803,1,Femoral Sheath Aline
284,5838,1,jobst bra
285,4312,3,hydrocortisone
286,6247,1,caf load
287,570,2341,PressSoreWoundBase#1
288,2968,3,FEM ART BP
289,7780,1,LASIX
290,1049,1,AICD
291,7353,1,P.high
292,7947,1,"Splint off,skin chk"
293,227448,66,Gentamicin (Peak)
294,5770,1,dexamethasone eye ds
295,6058,1,uric acid
296,7779,1,Critic-aid oint
297,6056,1,right fem sheath
298,223765,154,Orthostatic HR sitting
299,7327,1,Passimier valve
300,609,2310,Remote Alarm
301,228451,6,Compression device # 3
302,429,15,LVAD Flow LPM
303,224754,2234,Temporary Atrial Stim Threshold mA
304,226113,5959,Multi Lumen placed in outside facility
305,7397,1,Ace wrap on left fot
306,3029,2,p low
307,2480,1,CISATRACUR.MCG/KG/MI
308,224907,334,Impaired Skin Drainage #7
309,2687,6,AMMONIA
310,6906,1,An GAP
311,7650,1,Salicylate
312,2692,1,URINE SODIUM
313,3161,1,Hi Minute Volume
314,6768,1,tank pressure
315,226993,12,ApacheIV_LOS
316,6337,1,PICC line site
317,6643,1,Temp Rectal
318,8230,1,sheepskin for heels
319,8410,2586,ImpSkin #1 [Length]
320,227853,52,Other (Activity); Specify
321,530,3972,Peak Flow
322,5821,1,TBILI
323,653,55,Spont. Resp. Rate
324,6031,2,PADS/NECK INCISION.
325,1405,2,L AND R CALF DRSG
326,3458,284,HiB Vaccine
327,8377,944,Capillary Refill [Left]
328,7219,1,skin laceration
329,227643,5,Breast Feeding - L
330,2351,1,GROIN BP
331,108,32,CT #4 Crepitus
332,223902,19158,Speech
333,7646,1,Nailbed circulation
334,228336,1874,CAM-ICU Inattention
335,2362,1,STRENAL WOUND
336,1089,17509,PainLevel Acceptable
337,65,134,BIPAP - Est. Vt
338,224684,9319,Tidal Volume (set)
339,1475,1,Haptoglobin
340,224675,137,Muscle Aches
341,3034,4,left arm sling
342,3249,25,BEDBATH
343,8061,1,low NO
344,5141,6,Erythromycin oint
345,1978,1,high me alarm
346,223763,790,Bladder Pressure
347,6737,1,Mammary Binder On
348,228163,2,Impella Catheter Repositioned
349,3663,2522,Total Enteral/kg/day
350,4487,1,Bilat Ing Hernias  s
351,6409,4,PR interval
352,3572,4927,Physioregulation
353,226775,14,SodiumApacheIIScore
354,941,8,urine culture
355,603,1013,Radial Pulse [Right]
356,2353,1,R FEM MAP
357,227039,1,PO2_ApacheIV
358,224332,1351,PCA inject
359,6841,1,DOPPLER FLAP CHECK
360,5558,1,HI/Minute/VOl
361,223848,10100,Ventilator Type
362,804,859,Ethanol
363,7262,1,Urine PH
364,5827,1,Nystatin Po suspensn
365,803,5304,Direct Bili (0-0.3)
366,7982,1,Bivona secured at 8
367,224995,251,Incision Appearance #4
368,4347,19,Hearing screen
369,494,826,PCA Basal Rate
370,68,651,BIPAP-Mode
371,2856,1,Potassium phosphate
372,3496,332,Lumbar Puncture
373,1233,12,heliox
374,6945,1,LOW VT
375,7683,2,criticaid ointment
376,1812,1,abg: glucose
377,7951,1,gt site
378,227456,9673,Albumin
379,5920,1,passymuir valve
380,6933,1,exh. vt
381,4248,1,Hydrocele:
382,3061,1,VCO2
383,3759,6337,HGB  (10.8-15.8)
384,223814,1520,Auditory Disturbance
385,7985,1,Orapred
386,6171,1,Pred PEFR
387,2355,6,solumedrol mg/kg/hr
388,6632,2,head circumference
389,987,7,Clot to Blood Bank
390,5921,5,ABDOMINAL BINDER
391,2686,1,TPA MG/MIN
392,224181,71,Small Volume Neb Drug #1
393,226107,9349,Arterial Line placed in outside facility
394,227679,52,Restraint Device (Violent)
395,225022,17,Incision Drainage Amount #6
396,226131,41,ICP Line Tip Cultured
397,3135,1,ATG
398,8205,2,isoproterenol
399,224989,323,Undermining Present #5
400,4648,14,chloral hydrate
401,3839,1455,ph (other)
402,3122,4,Apnea
403,1432,1152,Paroxysmal Sweats
404,2669,3,svo2
405,227925,98,Activity RR - Aerobic Activity Response
406,6299,5,sodium bicarb
407,223796,15733,Untoward Effect
408,7921,11,Brush Teeth
409,5989,1,Right heel drsg chae
410,470,23195,O2 Flow (lpm)
411,2562,1,INTRA ABD PRESSURE
412,1213,1,shoulder shrug r/l
413,228196,10,Return Site Observed (Tandem Heart)
414,227038,7,PHPaCO2Score_ApacheIV
415,4813,13,nutrition labs
416,224963,275,Impaired Skin Wound Base #7
417,6651,1,ca gluc ml/hr
418,2561,1,VASOPRESSIN U/HR
419,99,1665,CT #2 Drainage
420,225398,39,Triple Introducer Zero/Calibrate
421,8233,1,multi drsg changes
422,94,6066,CT #1 Drainage
423,2423,1,DECUBITI CARE
424,1884,2,Spont Resp rate
425,2105,2,hi minute volume
426,7119,1,metronizadole
427,4241,32,polyvisol
428,1322,1,rad. aline
429,3681,1329,Ventilator Number
430,2777,2,TLSO
431,1588,1,min vol
432,162,409,Ectopy Type 2
433,6042,2,VIDALYN
434,227368,14897,20 Gauge Dressing Occlusive
435,224835,2461,Temporary Ventricular Capture
436,5931,2,ECMO
437,4788,11,aldactone
438,62,796,BAEDP
439,228192,7,Oxygenator Sweep Rate
440,2445,3,Vasopressin
441,5701,3,TriViSol
442,1040,1,BIpap FIO2
443,224941,592,Impaired Skin Treatment #6
444,224446,93,GI #3 Tube Drainage
445,390,237,Inc #5 [Closure]
446,224064,148,Restraint Location_V1
447,1624,570,PreSep Catheter SVO2
448,4740,2,Keflex pg/po
449,4887,3,flow rate
450,6023,2,AV FISTULA
451,4643,2,poly vi sol
452,6280,2,flovent
453,6947,2,mvo2
454,228005,380,PBP (Prefilter) Replacement Rate
455,220073,6030,Central Venous Pressure  Alarm - Low
456,223932,394,Neuro Drain #1 Drainage
457,2685,1,Cisat mcg/kg/min
458,3292,3878,Abdominal Color
459,5049,1,zantc
460,6173,3,circumsision site
461,2922,1,P-insp
462,5943,2,sigh breath
463,228414,2586,Speech
464,2940,1,L rad art BP
465,1937,1,6. Agitation
466,2146,28,edvi
467,1492,27,High MV Alarm
468,1057,2,edema
469,227032,2,Non-Operative Respiratory (RESPIRAT)
470,223944,973,Brachial Pulse L
471,5682,2,Neosynephrine gtts
472,5981,1,L FEM ART BP
473,6754,4,urine PH
474,4390,9,Nystatin Cream
475,1433,848,Seizure
476,6381,42,Zosyn
477,227905,106,Patient agrees with the above goals and is willing to participate in the rehabilitation program
478,6670,1,APRV Plo
479,3014,17,bath/shampoo
480,3004,1,spontaneous VT
481,3293,5379,Abdominal Exam
482,4638,1,atropine eye drops
483,225642,10193,Differential-Monos
484,8397,260,INV Line#6 [Site]
485,5620,5,Abd US
486,811,27402,Glucose (70-105)
487,224925,1208,Impaired Skin Odor #4
488,5668,1,CUFF PRESSURE
489,2313,1,ICE PACKS OU
490,8516,485,Eye Drainage [Right]
491,417,14105,Inspired Gas Temp
492,4672,1,Head Circ.
493,228332,5327,Delirium assessment
494,6689,1,High NO2 alarm
495,7318,1,Gent Eye
496,605,15426,Reason For Restraint
497,6175,1,Coag bld wk
498,224062,110,Less Restrictive Measures (Acute Med/Surgical)
499,3228,1,trch size
500,3576,1964,Position at Breast
501,6014,1,PHENYFREE (1.0-2.0)
502,6316,1,vac canister change
503,2593,1,PENTOBARB DRIP MG/HR
504,1438,151,Ulnar Pulse [Right]
505,639,13,Sigh Tidal Volume
506,2756,1,KETAMINE
507,1367,14,CCO
508,4543,3,UMBI HERNIA
509,225415,6,Home with services
510,1669,10,tlow
511,5766,1,High mv
512,1504,1,High min. volume
513,228212,9,Tandem Heart Access Line Pump Housing Checked
514,8310,1,NO Tank PSI
515,3557,235,PMI
516,7362,2,oxacillin
517,2013,1,Bupivacaine
518,6240,1,CT scan
519,1313,9,High Exhaled min vol
520,5617,4,vitamin a
521,3520,4943,Muscular Abnormality
522,6752,1,Phenylepherine
523,968,24,EKG
524,224791,135,GI #3 Tube Type
525,6010,8,P-Lo
526,6121,7,Miconazole
527,3726,31,ABG SODIUM
528,226272,12,EF (CCO)
529,225085,2874,Post menopausal
530,5325,2,Hernia
531,742,27228,calprevflg
532,3437,1885,Flowrate (l/m)
533,788,27225,Chloride (100-112)
534,2880,1,A GAP
535,228397,2602,Commands Response
536,849,932,Total Protein(6.5-8)
537,220061,2730,Pulmonary Artery Pressure mean
538,5086,2,ceftazadime
539,5675,4,High Mv.
540,228158,2,Purge Pressure
541,6391,1,rad a line
542,3559,5033,Pain
543,4266,1,abdomen dsg.
544,6127,1,LO Press
545,1165,1,Hgb
546,226780,13,WBCApacheIIValue
547,228396,2593,Orientation to Time
548,224923,3626,Impaired Skin Odor #2
549,7132,1,mucomyst mg/kg/hr
550,3423,1227,Family Meeting held
551,224010,6184,GI #1 Tube Place Check
552,6069,1,Suprapubic cath site
553,6168,1,hi VE
554,5396,4,ferrous sulfate
555,7638,1,Driving Pressure:
556,227458,3,Procan
557,2404,1,.45%ns
558,1813,106,Morphine Sulfate
559,3009,1,Insp.Time
560,223820,1519,Headache
561,5825,1,Nose Wound
562,224906,547,Impaired Skin Drainage #6
563,6820,2,SSI HumR #units
564,3136,1,Tongue midline
565,5941,1,Feeding Team Eval
566,591,3295,RLE [Temperature]
567,8550,303,ICP Alarm [High]
568,5953,2,CRITICAID
569,3630,2253,Stimulation
570,227626,117,Seizure Pads
571,4956,8,Umbi hernia
572,521,4363,Pacer Wires Vent
573,227053,7,SodiumScore_ApacheIV
574,7737,1,Bivona positin 10
575,6645,5,pmv
576,715,49,Vd/Vt Ratio (40-60%)
577,227775,35,Skeletal Traction #1 - Pounds
578,2487,1,carioride cc/hr
579,4286,1,NONNUTRITIVE SUCKING
580,4823,2,PRILOSEC
581,8183,1,trach mark location
582,6000,1,HIGH MIN VOL.
583,6944,1,LOW PRESSURE
584,3424,294,Family Mtg. Planned
585,6794,1,NITRIC OXIDE PPM
586,7608,1,Transpul. End Exhal.
587,4374,1,desetin
588,225612,11303,Alkaline Phosphate
589,1891,10,Heliox
590,3222,1,logroll
591,225230,4395,20 Gauge Reason Discontinued
592,225017,20,Incision Drainage #6
593,7246,1,Cuff pres.
594,4732,11,Keflex
595,794,5,Differential-Atyps
596,224844,658,Permanent Pacemaker Mode
597,224087,21159,Therapeutic Bed
598,3412,6480,Erythromycin Oint.
599,224004,21790,Bowel Sounds
600,4824,1,triple abx oint.
601,3599,316,Remote Alarm [S]
602,6301,2,3X ABX ointment
603,224435,41,CT #4 Fluctuate
604,84,26919,Braden Mobility
605,6639,1,Vit A injection
606,227120,396,Motor Deficit
607,3291,5401,Abdominal Appearance
608,227753,687,Dialysis Catheter Placement Confirmed by X-ray
609,3047,3,BEDBATH/SHAVED
610,224900,40,Impaired Skin Depth #7
611,7597,1,PRBC
612,224003,21826,Abdominal Assessment
613,5889,2,Bladder cath
614,224315,21,ABI Brachial BP L
615,3138,1,Visual field checkR)
616,6763,1,passy-muir/cuff
617,227787,121,Impaired Skin  - Dressing Status  #8
618,228004,365,Citrate (ACD-A)
619,8476,13061,Sputum Consistency
620,5896,1,VEN0US O2 SAT
621,2667,1,alteplase mg/hr
622,223985,21806,Respiratory Pattern
623,5856,1,icp
624,1654,11,HIGH VE
625,3829,448,Venous Base Excess
626,4540,7,Simethicone
627,6222,1,tank B
628,5441,1,mupricin
629,7111,1,papaperine
630,680,19305,Therapeutic Bed
631,4915,1,PRUNE JUICE
632,2464,1,epidural ml/hr
633,223995,3488,CT #1 Fluctuate
634,1643,1,Brachial Site Appear
635,8440,560,Manual BP [Diastolic]
636,115,1004,Capillary Refill [Right]
637,6690,5,phenylephrine gtts
638,224564,7183,Impaired Skin Odor #1
639,5831,1,Heparin Flush 10U/cc
640,8019,1,cefixime
641,1508,6,Hi/Minute/Vol/Alarm
642,225977,528,Dialysate Fluid
643,227546,449,SVV (Arterial)
644,1035,1,WEDGE SAT
645,1494,1,r nare-saline irrign
646,174,504,Emesis [Appearance]
647,1227,3,autopeep
648,228156,2,Performance Level
649,8371,3597,Atrial Pacemaker [Sensitivity]
650,2829,1,fenoldopam mcg/kg/mn
651,8247,2,ACE WRAP
652,1675,3,TH
653,225016,64,Incision Drainage #5
654,1566,33,high min vol
655,2563,2,abd girth
656,5873,1,Vanco trough
657,2604,1,CHEST WT ON/OFF
658,227864,204,Activity HR - Aerobic Capacity
659,5938,1,lvad svr
660,222,18,I:E Ratio-Calculated
661,92,548,CPP
662,7123,1,Nares Care
663,227932,91,Recovery RR - Aerobic Activity Response
664,4448,1,Erythropoetin SQ
665,224781,41,CT #4 Leak
666,44,699,Angio Appearance #2 [Attribute 1]
667,814,27142,Hemoglobin
668,3774,441,Mix Venous PCO2
669,226757,14,GCSMotorApacheIIValue
670,1685,20,HI MV
671,1196,1,HFO % I time
672,5802,1,HYPEROXYIA TEST
673,4508,1,Na supp
674,7176,1,low insp. pressure
675,1601,1,C.C.O
676,227623,32,Tunneling Present #10
677,619,14079,Respiratory Rate Set
678,8503,1337,BP Left Arm [Diastolic]
679,562,472,Pressure Sore #2 [Width]
680,111,49,CT #4 [Fluctuate]
681,220245,9,CO2 production
682,3568,5881,Peripheral Pulses
683,6231,1,Tank 1
684,223924,8025,RLE Sensation
685,6610,2,rifampin
686,2131,4,Nitric oxide
687,224913,456,Impaired Skin Drainage Amount #6
688,1886,1,dextrose
689,8383,1263,Edema #1 [Amount]
690,7949,1,Calcium for CVVH
691,224964,158,Impaired Skin Wound Base #8
692,1617,1,peripad change
693,8406,3516,ImpSkin #1 [Amount]
694,226140,62,RIC placed in outside facility
695,5753,3,Calcium Chloride
696,981,1,dilaudid
697,7081,1,InExsufflator
698,224392,203,ETT Position Change
699,224940,1018,Impaired Skin Treatment #5
700,4187,4021,Length Calc Inches
701,3584,235,Prevnar
702,7263,1,Driving Press
703,668,452,TCPCV Fixed I Time
704,227586,476,GI pH
705,227619,34,Pressure Ulcer Stage #10
706,4326,65,Hep B Vaccine
707,6238,1,propofol
708,1521,9167,Albumin
709,5045,14,Bili
710,124,476,Chest Tube Site #3
711,1121,36,HI/Minute/Vol/Alarm
712,229,19919,INV Line#1 [Type]
713,227364,63,RIC Dressing Occlusive
714,8442,64,Nares [Left]
715,415,265,Incision/Wound #5
716,5834,1,Thoracentesis
717,7359,1,nasal irrigation TID
718,5898,2,urine na
719,3442,19,Gastric Secretions
720,224949,388,Impaired Skin Type #7
721,8364,3,ABP [Diastolic]
722,6364,1,EDM CO
723,166,16475,Education Handout
724,4240,13,glycerine
725,4645,1,PRED FORTE DROPS
726,1218,1,rotating bed
727,224686,8758,Tidal Volume (spontaneous)
728,2909,1,HI/Minute/Vol Alarm
729,226760,14,HCO3Score
730,223960,2311,Temporary Venticular Stim Threshold mA
731,2309,1,FEM ALINE MAP
732,388,3343,Inc #3 [Closure]
733,3497,194,MAWP Alarm [Low]
734,2820,1,STERNAL DRSG
735,6073,3,MV HI
736,224310,243,Augmented Diastole
737,6174,1,PLT transfusion
738,4755,1,zzzpH
739,3765,3411,Indirect Bili(0-1.0)
740,147,489,Dialysate Infusing
741,7158,1,AMIODARONE CC/HR
742,224961,683,Impaired Skin Wound Base #5
743,3245,2,ileostomy
744,2377,1,MULTIPODUS BOOT RT
745,1849,1,PEG Care
746,5413,2,Ativan
747,1192,1,Pericardial Pressure
748,716,21,Venous Pressure
749,7462,1,Tl
750,7924,2,Bacitracin oint.
751,1436,1150,Tactile Disturbances
752,225122,11454,Special diet
753,5962,2,Spironolactone
754,5455,4,Lactation Consult
755,1360,1,face mask 02%
756,4715,2,penicillin
757,3469,80,IV #5 [Location]
758,225357,1622,PA Catheter Waveform Appear
759,2657,1,SOLUMEDROL CC/H
760,5758,1,MV hi
761,657,13831,Sputum Source
762,6616,1,Pantoprazole   mg/hr
763,6200,3,foley changed
764,7581,1,pr
765,3498,52,MRI
766,592,1630,RLE [Sensation]
767,228231,643,PAR-Consciousness
768,448,11,Minute Volume
769,2514,1,pigtail flush
770,228096,13425,Richmond-RAS Scale
771,3747,2788,Chloride  (100-112)
772,224916,1676,Impaired Skin Length #2
773,3238,1,CSF PRESSURE
774,1027,9,abdominal binder
775,225137,11812,Patient valuables
776,224154,522,Dialysate Rate
777,436,3013,Low Insp. Pressure
778,4278,17,Caffeine Bolus
779,224065,1824,Circulation/Skin Integrity
780,420,1,LAP
781,224057,21810,Braden Mobility
782,7648,1,TF residual/G-tube
783,227952,7955,Position Change
784,224876,20957,Urine Appearance
785,7966,1,pleural fluid pH
786,183,13082,Eye Care
787,711,48,VO2
788,4889,45,Cyclopentolate
789,2663,1,ACETYCYSTEINE
790,7403,1,Volume/SIMV with PSV
791,3548,12,Oral Abnormalities
792,228294,40,IO Wristband in place
793,130,5136,Communication
794,283,15436,INV#1 WaveformAppear
795,224375,117,Cont Neb - Med
796,6671,1,APRV T hi
797,3692,3804,Weight Change  (gms)
798,6369,2,T LO
799,548,15589,Position Change
800,1195,1,HFI Bias Flow:
801,224173,1459,MDI #2 Drug
802,3751,3,Digoxin  (1-2ng/ml)
803,1434,773,Slurred Speech
804,1661,1,Bed alarms on
805,224894,172,Impaired Skin Cleanse #8
806,4247,1,KCL supps
807,224747,162,Transpulmonary Pressure (Insp. Hold)
808,6604,1,Fem sheath
809,681,26,Tidal Volume
810,7269,1,Bed Rotation Right _
811,2334,1,vasopressin u/hr
812,8025,1,Panpropazole mg/hr
813,601,2231,RVSW
814,647,270,Spare Trach Present
815,228016,1915,22 G Infiltration Scale
816,5842,1,Decadron drops
817,3178,1,right femoral aline
818,7919,1,Tdisconnect
819,1046,26295,Pain Present
820,6201,5,cephalexin
821,6334,1,meropnem
822,4807,1,RASH
823,1191,5682,Glucometer
824,2956,1,ventriculostomy icp
825,2822,1,gt drsg
826,5900,1,Xeroform Dsg
827,228412,2609,Strength R Arm
828,3207,1,High MMV
829,6336,4,PCV driving pressure
830,3304,5239,Anterior Fontanelle [Texture]
831,4862,7,CIRC SITE
832,4496,1,Hep. Flush
833,227754,194,IABP Placement Confirmed by X-ray
834,224420,172,Vital Cap
835,224728,38,Peak Exp Flow Rate
836,224914,269,Impaired Skin Drainage Amount #7
837,1728,2,nebulizer
838,225175,5380,See chart for initial patient assessment
839,1676,3,TL
840,6729,1,Act CPP
841,224930,6329,Impaired Skin Site #2
842,224696,8423,Plateau Pressure
843,224709,274,T Low (APRV)
844,226768,14,PhApacheIIScore
845,224297,2517,Cordis/Introducer Site Appear
846,225059,11720,Past medical history
847,4364,3,CEFOTAXIME
848,1539,712,Total Protein
849,518,4667,Pacer Wire Condition
850,1680,1,flush catheter
